name,track_number,acousticness,danceability,energy,liveness,loudness,tempo,valence,duration,taylors_version,performed_live,not_first_release,low_instrumentalness,medium_instrumentalness,spoken_section,Lover,Fearless (Taylor's Version),Speak Now (Taylor's Version),Red (Taylor's Version),folklore,reputation Stadium Tour Surprise Song Playlist,1989 (Taylor's Version),Speak Now World Tour Live,Red,Midnights,Fearless,Speak Now,1989,evermore,Taylor Swift,Live From Clear Channel Stripped 2008,reputation
"You're On Your Own, Kid",0.08888888888888889,-0.7790371158750853,0.6896024464831804,0.32211538461538464,-3.962380546327619,0.3998285836725949,0.3727032049304414,0.3893551236749117,0.10238110546732676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Fearless,0.13333333333333333,-2.3025051492855866,0.5428134556574923,0.7163461538461539,-1.6664835467984789,0.8222984072566245,0.22874321095717431,0.47438162544169615,0.20481364795645002,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Call It What You Want,0.28888888888888886,-1.389567433563437,0.5428134556574923,0.4639423076923077,-1.4909346428280223,0.4311120634240411,0.6877434907697716,0.23696996466431097,0.1223129514134465,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
We Were Happy (Taylor’s Version) (From The Vault),0.4888888888888889,-0.16058980128726288,0.5596330275229358,0.30649038461538464,-5.766734163643884,0.5064638240125705,0.2719921939460034,0.10225265017667845,0.2096058638204848,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mad woman - the long pond studio sessions,0.24444444444444444,-0.11823782510251823,0.6422018348623854,0.41706730769230776,-4.455116654000799,0.38904363974001865,0.52903952532304,0.3407685512367491,0.1969544996678026,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
mirrorball,0.1111111111111111,-0.3606821011654134,0.4678899082568808,0.359375,-6.941680758026344,0.4175416041711307,0.3016236305325766,0.3418727915194346,0.1340298763368268,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
the last great american dynasty,0.044444444444444446,-0.6724484804449555,0.6804281345565748,0.6430288461538463,-4.554767995739565,0.5251053496178845,0.5732140422875757,0.732773851590106,0.18123834629974925,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
right where you left me - bonus track,0.3333333333333333,-0.25472776746634274,0.5168195718654434,0.6021634615384616,-4.209235220060585,0.670380687093779,0.5009219466347153,0.6709363957597174,0.21129899912128425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
The Lucky One,0.6666666666666666,-2.317842229974546,0.7079510703363914,0.4651442307692308,-3.8613669703238536,0.5907435183201201,0.3575718006299371,0.5781802120141344,0.20109732313165735,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Haunted,0.37777777777777777,-2.018824174221303,0.2874617737003058,0.9987980769230769,-6.876645663733529,0.9490750660667095,0.6738102583602982,0.3672703180212014,0.21212842109775182,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
betty,0.28888888888888886,-0.497753232146079,0.5382262996941896,0.31009615384615385,-4.809295807113379,0.510177844439683,0.19980771852287646,0.4843197879858657,0.31737499732098845,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Hey Stephen (Taylor’s Version),0.06666666666666667,-1.7444467248964326,0.8333333333333334,0.5444711538461539,-5.0270760998154165,0.6981644168273695,0.34361704417451694,0.8387809187279153,0.2310765340020146,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Story Of Us - Live,0.044444444444444446,-3.5506713563761663,0.2691131498470948,0.9495192307692308,-0.2169855575956422,0.7680879937147348,0.514539493036971,0.4799028268551237,0.3088021603549155,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Bye Bye Baby (Taylor’s Version) (From The Vault),0.5555555555555556,-0.9667970421215628,0.5825688073394495,0.608173076923077,-4.7866874460431585,0.5749589315048926,0.08634729765603147,0.5406360424028269,0.2051501318073684,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bad Blood,0.15555555555555556,-1.8487444152320505,0.6162079510703364,0.8125000000000001,-2.625433834015035,0.7003785443896865,0.7326713493424404,0.2756183745583039,0.14037377569172077,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
22,0.1111111111111111,-3.2519243947813172,0.6345565749235474,0.734375,-5.919621254928882,0.6677380187129491,0.25764282998156113,0.6963339222614842,0.17938018388735297,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
cowboy like me,0.2222222222222222,-0.25595098192358395,0.5519877675840978,0.47956730769230776,-4.041507329179165,0.4925362474108993,0.4295482102755795,0.5229681978798587,0.27562528129621305,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Better Man,0.7333333333333333,-1.6550815394223526,0.39602446483180426,0.8713942307692308,-4.866771202791562,0.8757945861009928,0.5441781043055265,0.5185512367491166,0.25113482929338393,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Archer,0.08888888888888889,-1.6701336157774924,0.07492354740061159,0.548076923076923,-6.491375925460953,0.4667523748303693,0.4035543374539923,0.1420053003533569,0.13888853168734866,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mine - POP Mix,0.4222222222222222,-2.9185403153474816,0.6911314984709479,0.7271634615384616,-4.76801008409755,0.8645096778801514,0.37964112240724923,0.7084805653710249,0.1798088257356566,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
I Know Places,0.24444444444444444,-1.1978205356332485,0.5489296636085627,0.765625,-2.93978797720383,0.7798728662238412,0.6591236843426915,0.5053003533568905,0.10559591932960413,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
