,name,album,release_date,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
0,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,1,0.00942,0.757,0.61,3.66e-05,0.367,-4.84,0.0327,116.998,0.685,66,212600
1,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,2,0.0885,0.733,0.733,0.0,0.168,-5.376,0.067,96.057,0.701,67,231833
2,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,3,0.000421,0.511,0.822,0.0197,0.0899,-4.785,0.0397,94.868,0.305,68,231000
3,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,4,0.000537,0.545,0.885,5.59e-05,0.385,-5.968,0.0447,92.021,0.206,67,235800
4,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,5,0.000656,0.588,0.721,0.0,0.131,-5.579,0.0317,96.997,0.52,65,193289
5,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,6,0.0121,0.636,0.808,2.18e-05,0.359,-5.693,0.0729,160.058,0.917,65,219209
6,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,7,0.00354,0.67,0.858,1.25e-05,0.0687,-6.528,0.0439,118.009,0.539,65,207650
7,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,8,0.0362,0.618,0.683,0.0,0.305,-6.438,0.194,169.971,0.363,64,211103
8,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,9,0.0436,0.589,0.674,7.18e-05,0.112,-7.48,0.0656,139.985,0.514,65,220433
9,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,10,0.00196,0.758,0.691,1.09e-05,0.0939,-5.798,0.0515,119.997,0.538,64,247533
10,This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],2023-10-27,11,0.316,0.471,0.509,0.0,0.0673,-8.796,0.0355,144.071,0.0567,63,250100
11,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,12,0.0999,0.582,0.788,0.0,0.115,-5.358,0.0445,160.027,0.652,65,195700
12,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,13,0.25,0.772,0.391,2.92e-05,0.0981,-8.892,0.0293,103.955,0.258,65,271000
