name,album,track_number,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity,duration,taylors_version,performed_live,not_first_release,low_instrumentalness,medium_instrumentalness,spoken_section,Midnights,Lover,reputation,Red (Taylor's Version),folklore,Speak Now (Taylor's Version),Fearless (Taylor's Version),Live From Clear Channel Stripped 2008,Speak Now,Fearless,1989,Taylor Swift,1989 (Taylor's Version),Red,evermore,Speak Now World Tour Live,reputation Stadium Tour Surprise Song Playlist
Welcome To New York (Taylor's Version),1989 (Taylor's Version),0.0,-2.7818055269257616,0.7859327217125383,0.5913461538461539,-1.3736028605312203,0.7906578101564175,0.347256446126643,0.7151060070671379,0.66,0.2441555156642562,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Blank Space (Taylor's Version),1989 (Taylor's Version),0.7829994753508476,-1.828919777975926,0.7492354740061161,0.7391826923076923,-3.189397376810701,0.7523748303692593,0.19854993218341016,0.732773851590106,0.67,0.2804597440790678,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Style (Taylor's Version),1989 (Taylor's Version),1.335679380127453,-3.476973301589049,0.40978593272171254,0.8461538461538461,-5.395998236029845,0.7945861009927863,0.190106589216097,0.2954946996466431,0.68,0.2788873725161532,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Out Of The Woods (Taylor's Version),1989 (Taylor's Version),1.7774125794343936,-3.4395335310383497,0.46177370030581044,0.9218750000000001,-1.2875815455184276,0.7100921362759803,0.16988943410428844,0.18617491166077738,0.67,0.2879478569123003,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),2.1515327684960113,-3.40702473758677,0.5275229357798165,0.7247596153846154,-3.9698911087064612,0.7378758660095708,0.20522507296496972,0.5329063604240283,0.65,0.2077040543780072,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Shake It Off (Taylor's Version),1989 (Taylor's Version),2.479318719827706,-2.69933965393037,0.6009174311926605,0.8293269230769232,-1.4140342179697962,0.7297335904578245,0.6530347036308504,0.9712897526501768,0.65,0.2566306701172012,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
I Wish You Would (Taylor's Version),1989 (Taylor's Version),2.772997332782901,-3.0597864520299676,0.6529051987767585,0.889423076923077,-6.630592257374616,0.6700949932147705,0.35443577307361823,0.553886925795053,0.65,0.23481189113072962,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bad Blood (Taylor's Version),1989 (Taylor's Version),3.0403220100313733,-2.2725650031666222,0.573394495412844,0.6790865384615385,-1.7302338974593587,0.676523105492465,0.7234290340219143,0.35954063604240283,0.64,0.2413297770932079,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Wildest Dreams (Taylor's Version),1989 (Taylor's Version),3.2865561462399002,-2.1880771283732487,0.529051987767584,0.6682692307692308,-4.524664581311816,0.6020998500107135,0.5104920430901642,0.5262809187279153,0.65,0.2589410936382187,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
How You Get The Girl (Taylor's Version),1989 (Taylor's Version),3.515456451645638,-3.1981491231325765,0.7874617737003058,0.688701923076923,-5.214202290152816,0.7222341261338476,0.368552985705257,0.5527826855123675,0.64,0.31009507845813206,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
This Love (Taylor’s Version),1989 (Taylor's Version),3.7298094704994864,-1.0038979448212213,0.34862385321100914,0.46995192307692313,-6.733551769616181,0.5081065638168702,0.5395076018491559,0.021311837455830387,0.63,0.3149405500091549,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
I Know Places (Taylor's Version),1989 (Taylor's Version),3.9317461882290177,-1.7609693354634588,0.5183486238532109,0.8052884615384617,-4.427393639740495,0.7536604528247982,0.6528145660093309,0.678666077738516,0.65,0.21225506018615523,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Clean (Taylor's Version),1989 (Taylor's Version),4.122937206008276,-1.1756655187669307,0.808868501529052,0.32812500000000006,-5.036181867440884,0.5012499107206628,0.2546353171757053,0.24359540636042407,0.65,0.3543914091507118,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Wonderland (Taylor's Version),1989 (Taylor's Version),4.304719440836713,-2.7704315419613845,0.3379204892966361,0.7055288461538461,-2.593811064965086,0.709949289336476,0.8222850285113724,0.38383392226148416,0.64,0.30638216745662766,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
You Are In Love (Taylor's Version),1989 (Taylor's Version),4.478181504542924,-0.4655763359218795,0.18348623853211007,0.4567307692307693,-4.524664581311816,0.4597528747946575,0.11775942508574722,0.48542402826855124,0.65,0.3475752822435271,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
New Romantics (Taylor's Version),1989 (Taylor's Version),4.6442230681944086,-2.8840313009337906,0.6207951070336392,0.875,-5.7743311634216905,0.710806370973502,0.3826204898417139,0.7294611307420494,0.65,0.2773338769623971,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),4.80359725341891,-1.0207505742167005,0.5321100917431192,0.35336538461538464,-7.260473232573192,0.18855796014570392,0.6233303271529104,0.32089222614840995,0.69,0.18333890175603515,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),4.956941606873806,-1.9853228032802246,0.5963302752293578,0.5204326923076924,-4.075587923220351,0.5437468752231983,0.2972070926921411,0.13979681978798586,0.67,0.37106458804053827,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),5.104801190058976,-1.4768390137906227,0.8516819571865444,0.4603365384615385,-5.5163300791947885,0.46982358402971214,0.2976544691487775,0.050463780918727906,0.69,0.1192642886670329,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),5.247646096965831,-1.307059972551539,0.7003058103975535,0.609375,-4.768727314740275,0.5075351760588529,0.35462750584074815,0.31537102473498235,0.65,0.16717537511349206,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),5.385884953041019,-2.2164326463843107,0.5382262996941896,0.6466346153846154,-4.215441615616074,0.6118848653667596,0.2265074101163889,0.1696113074204947,0.71,0.27601255632129235,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version),5.519875463087212,-2.749809417903016,0.5489296636085627,0.6370192307692308,-2.4989828061512167,0.6431683451182058,0.7242811796536027,0.150839222614841,0.74,0.21994325871646916,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Welcome To New York (Taylor's Version),1989 (Taylor's Version),0.0,-2.775411973585763,0.7920489296636085,0.5877403846153846,-1.3736028605312203,0.7913720448539391,0.3471286242818898,0.7029593639575973,0.77,0.2441555156642562,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Blank Space (Taylor's Version),1989 (Taylor's Version),0.7829994753508476,-1.7741884520234277,0.7553516819571865,0.7295673076923077,-3.088360879615234,0.7494464681094208,0.19823037757152698,0.7924028268551238,0.81,0.2804597440790678,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Style (Taylor's Version),1989 (Taylor's Version),1.335679380127453,-3.478040123970425,0.5076452599388378,0.8485576923076923,-5.3866027897067355,0.7918720091422041,0.19083801421662966,0.28113957597173145,0.83,0.2788873725161532,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Out Of The Woods (Taylor's Version),1989 (Taylor's Version),1.7774125794343936,-3.447044335022833,0.46483180428134563,0.9218750000000001,-1.2648187212127868,0.7105921005642454,0.16968349890996376,0.17071554770318023,0.78,0.2879478569123003,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),2.1515327684960113,-3.3918281746804997,0.5244648318042813,0.7235576923076923,-5.170675707305977,0.7395186058138704,0.20565114578081395,0.4898409893992933,0.75,0.2077040543780072,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
